TestCase#,Sequence Type,Input,P2 Platforms,P5B Platforms,P2 Height,P5B Height,Cost Diff
1,Non-Increasing,"n=6, W=10",5,5,20,20,No
2,Non-Increasing,"n=10, W=10",6,6,37,37,No
3,Non-Increasing,"n=7, W=10",6,6,42,42,No
4,Non-Increasing,"n=10, W=10",8,8,48,48,No
5,Non-Increasing,"n=10, W=10",6,6,34,34,No
6,Non-Increasing,"n=10, W=10",7,7,31,31,No
7,Non-Increasing,"n=8, W=10",6,6,42,42,No
8,Non-Increasing,"n=9, W=10",5,5,25,25,No
9,Non-Increasing,"n=10, W=10",4,4,19,19,No
10,Non-Increasing,"n=10, W=10",7,7,34,34,No
11,Increasing,"n=9, W=10",5,5,38,38,No
12,Increasing,"n=7, W=10",5,5,36,36,No
13,Increasing,"n=7, W=10",5,5,29,29,No
14,Increasing,"n=8, W=10",7,7,36,36,No
15,Increasing,"n=6, W=10",4,4,18,18,No
16,Increasing,"n=6, W=10",4,4,23,23,No
17,Increasing,"n=7, W=10",5,5,27,27,No
18,Increasing,"n=10, W=10",9,9,53,53,No
19,Increasing,"n=8, W=10",6,6,29,29,No
20,Increasing,"n=10, W=10",8,8,52,52,No
21,Unimodal Valley,"n=8, W=10",6,6,6,6,No
22,Unimodal Valley,"n=9, W=10",6,6,15,15,No
23,Unimodal Valley,"n=10, W=10",5,5,22,22,No
24,Unimodal Valley,"n=5, W=10",2,2,10,10,No
25,Unimodal Valley,"n=8, W=10",6,6,18,18,No
26,Unimodal Valley,"n=6, W=10",6,6,17,17,No
27,Unimodal Valley,"n=7, W=10",4,4,7,7,No
28,Unimodal Valley,"n=8, W=10",6,6,18,18,No
29,Unimodal Valley,"n=10, W=10",6,6,36,36,No
30,Unimodal Valley,"n=7, W=10",6,6,14,14,No
31,Unimodal Peak,"n=7, W=10",3,3,3,3,No
32,Unimodal Peak,"n=8, W=10",7,7,7,7,No
33,Unimodal Peak,"n=7, W=10",6,6,10,10,No
34,Unimodal Peak,"n=7, W=10",4,4,4,4,No
35,Unimodal Peak,"n=9, W=10",7,7,23,20,Yes
36,Unimodal Peak,"n=5, W=10",4,4,8,8,No
37,Unimodal Peak,"n=8, W=10",5,5,14,13,Yes
38,Unimodal Peak,"n=10, W=10",8,8,30,29,Yes
39,Unimodal Peak,"n=8, W=10",8,8,34,34,No
40,Unimodal Peak,"n=5, W=10",4,4,4,4,No
41,Random (1-100),"n=7, W=100",6,6,296,278,Yes
42,Random (1-100),"n=10, W=100",8,8,494,494,No
43,Random (1-100),"n=7, W=100",5,5,350,350,No
44,Random (1-100),"n=6, W=100",4,4,327,323,Yes
45,Random (1-100),"n=10, W=100",8,8,316,331,Yes
46,Random (1-100),"n=9, W=100",6,6,316,316,No
47,Random (1-100),"n=8, W=100",7,7,286,286,No
48,Random (1-100),"n=9, W=100",6,6,295,353,Yes
49,Random (1-100),"n=10, W=100",9,9,498,498,No
50,Random (1-100),"n=8, W=100",6,6,315,315,No
51,Random (1-25),"n=7, W=25",7,7,85,85,No
52,Random (1-25),"n=7, W=25",4,4,43,42,Yes
53,Random (1-25),"n=8, W=25",8,8,140,140,No
54,Random (1-25),"n=6, W=25",3,3,43,43,No
55,Random (1-25),"n=9, W=25",7,7,81,81,No
56,Random (1-25),"n=8, W=25",5,5,61,61,No
57,Random (1-25),"n=10, W=25",6,6,97,97,No
58,Random (1-25),"n=10, W=25",7,7,77,77,No
59,Random (1-25),"n=6, W=25",3,3,56,56,No
60,Random (1-25),"n=8, W=25",5,5,92,86,Yes
