Scenario,n,Max Platform Width,Heights,Widths,Expected
Even Heights,6,25,"[14, 24, 30, 52, 70, 92]","[1, 7, 9, 17, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,9,25,"[30, 40, 42, 54, 60, 78, 84, 88, 96]","[1, 5, 7, 9, 11, 15, 17, 19, 21]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,5,25,"[2, 12, 38, 50, 90]","[3, 11, 17, 19, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,6,25,"[10, 20, 28, 36, 90, 98]","[1, 3, 7, 17, 19, 21]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,6,25,"[14, 56, 58, 64, 78, 86]","[1, 3, 11, 19, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,5,25,"[18, 30, 62, 70, 72]","[5, 7, 9, 19, 21]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,10,25,"[4, 18, 20, 26, 32, 40, 50, 52, 84, 90]","[1, 3, 5, 9, 11, 13, 15, 19, 21, 23]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,7,25,"[4, 20, 30, 36, 66, 80, 94]","[3, 5, 13, 17, 19, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,10,25,"[30, 34, 36, 40, 42, 44, 52, 56, 76, 96]","[1, 3, 5, 9, 11, 13, 15, 19, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,9,25,"[6, 14, 32, 34, 48, 68, 72, 78, 80]","[1, 3, 5, 9, 11, 15, 17, 19, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
