Scenario,n,Max Platform Width,Heights,Widths,Expected
Extreme Cases,5,10,"[2, 50, 3, 9, 50]","[9, 2, 4, 6, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,6,10,"[50, 1, 10, 1, 4, 50]","[8, 3, 5, 7, 6, 8]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,5,10,"[4, 10, 5, 50, 50]","[2, 8, 8, 6, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,9,10,"[1, 1, 50, 9, 9, 10, 9, 2, 50]","[5, 8, 3, 8, 10, 6, 8, 5, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,5,10,"[50, 5, 50, 3, 6]","[5, 8, 7, 4, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,10,10,"[50, 9, 6, 2, 2, 4, 5, 8, 8, 50]","[4, 4, 9, 5, 3, 2, 4, 7, 7, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,7,10,"[10, 8, 50, 1, 8, 50, 3]","[9, 9, 5, 10, 9, 10, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,10,10,"[50, 8, 5, 3, 3, 9, 4, 7, 50, 6]","[10, 8, 3, 2, 5, 5, 10, 8, 7, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,5,10,"[50, 10, 9, 50, 2]","[4, 7, 2, 6, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Extreme Cases,10,10,"[1, 7, 2, 6, 6, 50, 6, 7, 50, 4]","[4, 6, 4, 8, 2, 1, 5, 5, 8, 5]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
