Scenario,n,Max Platform Width,Heights,Widths,Expected
Strictly Increasing Heights,8,10,"[1, 2, 3, 4, 5, 6, 6, 10]","[1, 2, 6, 7, 4, 3, 8, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,10,10,"[1, 1, 3, 4, 5, 5, 5, 7, 10, 10]","[8, 2, 6, 2, 7, 7, 3, 6, 4, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,10,10,"[1, 2, 3, 4, 5, 5, 6, 7, 8, 10]","[4, 2, 9, 6, 1, 10, 9, 7, 4, 5]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,8,10,"[2, 3, 4, 5, 6, 7, 7, 9]","[6, 5, 8, 6, 9, 9, 5, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,5,10,"[1, 3, 5, 8, 10]","[4, 2, 10, 5, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,6,10,"[1, 1, 2, 3, 5, 10]","[10, 10, 9, 8, 1, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,7,10,"[1, 4, 4, 7, 7, 8, 8]","[5, 8, 6, 6, 4, 9, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,9,10,"[1, 2, 3, 3, 4, 6, 6, 8, 10]","[10, 2, 7, 2, 8, 3, 2, 1, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,6,10,"[3, 4, 6, 6, 7, 8]","[9, 9, 5, 1, 4, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,6,10,"[2, 4, 7, 7, 7, 10]","[6, 6, 2, 10, 8, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
