Scenario,n,Max Platform Width,Heights,Widths,Expected
Non-Increasing Heights,9,10,"[10, 10, 9, 7, 7, 2, 1, 1, 1]","[3, 6, 5, 1, 1, 1, 6, 7, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,10,10,"[10, 10, 10, 9, 9, 7, 7, 6, 6, 3]","[9, 1, 2, 3, 7, 3, 3, 9, 9, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,5,10,"[6, 5, 5, 5, 1]","[7, 7, 7, 2, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,5,10,"[10, 4, 4, 3, 1]","[10, 5, 7, 9, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,10,10,"[10, 8, 7, 7, 6, 6, 6, 5, 4, 3]","[2, 4, 3, 5, 5, 5, 7, 2, 9, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,5,10,"[10, 10, 8, 6, 4]","[10, 7, 4, 10, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,7,10,"[10, 9, 5, 3, 3, 3, 1]","[5, 8, 5, 9, 2, 1, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,9,10,"[10, 7, 7, 5, 5, 3, 3, 3, 1]","[2, 10, 1, 4, 8, 9, 7, 10, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,5,10,"[10, 9, 7, 4, 1]","[1, 2, 10, 3, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,8,10,"[9, 8, 8, 7, 6, 6, 6, 5]","[2, 2, 7, 7, 7, 10, 3, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
