Scenario,n,Max Platform Width,Heights,Widths,Expected
Completely Random Heights,5,10,"[2, 10, 5, 7, 7]","[7, 5, 8, 3, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,6,10,"[6, 1, 4, 8, 4, 4]","[10, 2, 9, 3, 5, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,10,10,"[6, 1, 4, 6, 5, 1, 6, 2, 8, 3]","[9, 7, 7, 10, 9, 3, 10, 3, 9, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,7,10,"[9, 5, 2, 1, 8, 6, 7]","[1, 4, 9, 3, 4, 4, 8]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,7,10,"[8, 4, 8, 5, 5, 5, 4]","[9, 7, 7, 4, 2, 5, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,8,10,"[2, 5, 3, 3, 6, 2, 2, 6]","[5, 6, 4, 9, 2, 5, 8, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,10,10,"[4, 2, 4, 3, 1, 7, 1, 9, 8, 3]","[2, 5, 3, 10, 3, 2, 2, 1, 2, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,10,10,"[10, 8, 2, 4, 8, 6, 1, 2, 9, 9]","[5, 7, 2, 3, 10, 6, 6, 9, 1, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,7,10,"[5, 8, 10, 5, 2, 7, 1]","[6, 4, 4, 3, 3, 9, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,10,10,"[3, 1, 4, 1, 2, 7, 9, 1, 4, 7]","[3, 3, 9, 7, 3, 2, 1, 3, 9, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
