Scenario,n,Max Platform Width,Heights,Widths,Expected
Random Heights (1-25),7,25,"[23, 17, 8, 6, 10, 23, 14]","[16, 9, 21, 15, 19, 15, 13]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),8,25,"[13, 9, 2, 18, 3, 3, 2, 23]","[14, 17, 2, 12, 17, 19, 25, 19]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),7,25,"[16, 15, 9, 25, 4, 14, 2]","[4, 23, 9, 25, 12, 5, 8]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),6,25,"[21, 17, 4, 1, 21, 6]","[9, 21, 12, 6, 21, 11]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),8,25,"[21, 5, 21, 4, 8, 6, 7, 25]","[9, 19, 12, 13, 23, 4, 10, 20]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),5,25,"[25, 22, 12, 1, 9]","[15, 9, 17, 3, 17]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),9,25,"[20, 25, 21, 2, 15, 16, 4, 6, 24]","[10, 13, 25, 4, 10, 8, 11, 14, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),10,25,"[16, 24, 11, 9, 5, 12, 5, 11, 8, 15]","[15, 21, 19, 6, 2, 16, 19, 21, 25, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),5,25,"[5, 11, 24, 17, 21]","[15, 17, 2, 14, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),5,25,"[20, 1, 1, 7, 10]","[10, 2, 8, 6, 21]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
