Scenario,n,Max Platform Width,Heights,Widths,Expected
Unimodal Peak,6,10,"[1, 1, 2, 2, 2, 1]","[8, 8, 4, 4, 4, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,8,10,"[1, 1, 1, 2, 3, 3, 2, 2]","[8, 9, 6, 1, 1, 1, 6, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,8,10,"[1, 1, 3, 3, 3, 2, 1, 1]","[7, 2, 9, 5, 8, 5, 10, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,7,10,"[6, 6, 9, 8, 4, 3, 3]","[1, 3, 1, 7, 7, 5, 8]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,7,10,"[4, 5, 5, 5, 3, 2, 2]","[9, 1, 7, 10, 2, 1, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,6,10,"[4, 5, 8, 9, 5, 1]","[7, 3, 3, 5, 2, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,10,10,"[1, 1, 1, 4, 4, 6, 5, 5, 3, 2]","[3, 1, 1, 3, 9, 9, 9, 1, 8, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,6,10,"[1, 3, 6, 8, 6, 4]","[8, 7, 1, 1, 6, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,8,10,"[1, 1, 2, 3, 3, 3, 3, 1]","[10, 7, 4, 6, 8, 9, 8, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,10,10,"[2, 3, 5, 6, 7, 5, 5, 5, 2, 1]","[8, 3, 4, 6, 10, 5, 6, 3, 2, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
