Scenario,n,Max Platform Width,Heights,Widths,Expected
Unimodal Valley,7,10,"[3, 2, 1, 2, 2, 3, 3]","[7, 9, 10, 4, 5, 3, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,7,10,"[1, 1, 1, 1, 1, 1, 1]","[6, 5, 9, 7, 3, 8, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,9,10,"[4, 2, 2, 1, 1, 1, 2, 2, 3]","[10, 3, 5, 9, 1, 5, 2, 1, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,6,10,"[8, 7, 1, 1, 1, 8]","[5, 8, 8, 1, 7, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,9,10,"[8, 6, 5, 5, 1, 3, 4, 5, 8]","[7, 5, 5, 1, 6, 1, 7, 7, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,9,10,"[3, 3, 3, 1, 4, 8, 10, 10, 10]","[3, 10, 3, 1, 1, 10, 8, 8, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,5,10,"[7, 3, 2, 5, 7]","[7, 2, 7, 8, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,8,10,"[8, 5, 3, 2, 3, 6, 8, 9]","[2, 6, 1, 3, 4, 10, 5, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,7,10,"[8, 7, 1, 2, 2, 4, 7]","[7, 1, 7, 8, 6, 8, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,5,10,"[3, 2, 2, 4, 5]","[2, 8, 3, 8, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
