Scenario,n,Max Platform Width,Heights,Widths,Expected
Even Heights,8,25,"[8, 30, 32, 46, 50, 80, 94, 98]","[1, 3, 7, 13, 19, 21, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,10,25,"[6, 10, 16, 32, 36, 50, 72, 78, 82, 94]","[1, 3, 5, 11, 13, 15, 17, 21, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,9,25,"[4, 6, 8, 10, 28, 36, 58, 60, 66]","[3, 5, 7, 9, 15, 17, 21, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,6,25,"[2, 10, 30, 34, 44, 64]","[1, 3, 5, 17, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,6,25,"[20, 42, 58, 82, 86, 96]","[7, 9, 13, 17, 19, 23]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,8,25,"[6, 20, 56, 64, 66, 70, 82, 90]","[1, 5, 7, 9, 13, 17, 19, 23]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,5,25,"[8, 24, 44, 64, 76]","[1, 7, 11, 15, 21]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,5,25,"[4, 6, 18, 24, 50]","[1, 3, 19, 21, 23]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,5,25,"[2, 8, 44, 62, 72]","[5, 9, 19, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Even Heights,9,25,"[10, 16, 24, 26, 58, 68, 74, 76, 86]","[1, 3, 5, 7, 13, 15, 17, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
