Scenario,n,Max Platform Width,Heights,Widths,Expected
Strictly Increasing Heights,10,10,"[1, 1, 2, 3, 3, 5, 6, 8, 9, 10]","[7, 4, 6, 4, 8, 3, 9, 4, 7, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,9,10,"[1, 1, 1, 2, 2, 2, 3, 6, 8]","[10, 5, 4, 10, 4, 2, 8, 7, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,9,10,"[1, 1, 2, 3, 3, 4, 4, 4, 9]","[3, 7, 4, 4, 7, 7, 1, 6, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,10,10,"[3, 4, 5, 5, 6, 6, 6, 8, 9, 9]","[2, 1, 8, 10, 7, 7, 10, 7, 6, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,7,10,"[1, 1, 5, 8, 9, 9, 10]","[10, 8, 10, 10, 8, 4, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,8,10,"[2, 3, 5, 6, 6, 7, 8, 9]","[4, 7, 7, 2, 10, 6, 3, 8]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,5,10,"[2, 3, 6, 9, 10]","[7, 1, 5, 10, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,8,10,"[4, 6, 6, 6, 8, 8, 9, 9]","[5, 1, 7, 3, 1, 3, 10, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,8,10,"[2, 4, 4, 6, 6, 8, 10, 10]","[3, 10, 3, 10, 7, 4, 2, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Strictly Increasing Heights,10,10,"[2, 3, 3, 3, 3, 6, 8, 10, 10, 10]","[4, 5, 1, 10, 1, 9, 9, 5, 10, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
