Scenario,n,Max Platform Width,Heights,Widths,Expected
Non-Increasing Heights,9,10,"[10, 9, 8, 8, 6, 4, 4, 2, 1]","[2, 7, 3, 5, 6, 7, 2, 10, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,9,10,"[9, 8, 8, 8, 7, 7, 7, 4, 1]","[3, 2, 10, 2, 9, 2, 7, 2, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,7,10,"[7, 7, 7, 4, 4, 3, 1]","[9, 9, 5, 4, 5, 5, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,6,10,"[10, 9, 9, 4, 1, 1]","[5, 10, 9, 7, 3, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,6,10,"[9, 6, 4, 4, 4, 3]","[10, 8, 6, 8, 4, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,7,10,"[8, 7, 6, 4, 3, 2, 1]","[2, 4, 5, 6, 1, 7, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,7,10,"[10, 9, 7, 7, 5, 4, 2]","[10, 4, 4, 6, 3, 4, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,6,10,"[9, 7, 6, 5, 4, 3]","[6, 1, 1, 4, 7, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,10,10,"[9, 7, 5, 4, 3, 3, 3, 2, 2, 1]","[2, 2, 7, 10, 1, 3, 3, 8, 6, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Non-Increasing Heights,6,10,"[8, 6, 5, 4, 4, 4]","[8, 2, 10, 5, 10, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
