Scenario,n,Max Platform Width,Heights,Widths,Expected
Odd Heights,6,25,"[25, 29, 37, 45, 65, 91]","[1, 5, 7, 9, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,5,25,"[3, 17, 37, 61, 97]","[3, 7, 11, 13, 19]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,10,25,"[53, 55, 57, 65, 71, 73, 77, 83, 87, 91]","[1, 5, 7, 11, 13, 15, 17, 19, 21, 23]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,6,25,"[11, 13, 65, 83, 89, 95]","[1, 7, 11, 17, 19, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,9,25,"[7, 13, 37, 39, 51, 53, 71, 81, 99]","[1, 3, 9, 11, 13, 17, 19, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,9,25,"[7, 19, 29, 41, 51, 75, 77, 85, 91]","[1, 3, 5, 11, 15, 17, 19, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,6,25,"[5, 35, 37, 71, 75, 93]","[1, 9, 11, 13, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,5,25,"[25, 41, 53, 75, 83]","[13, 15, 21, 23, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,8,25,"[5, 9, 27, 43, 55, 61, 83, 97]","[1, 3, 5, 11, 13, 15, 17, 19]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Odd Heights,7,25,"[11, 17, 27, 53, 65, 73, 87]","[1, 5, 11, 15, 17, 21, 25]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
