Scenario,n,Max Platform Width,Heights,Widths,Expected
Prime Heights,10,10,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29]","[6, 9, 8, 7, 2, 9, 1, 5, 10, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,10,10,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29]","[9, 7, 2, 2, 5, 9, 10, 10, 7, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,7,10,"[2, 3, 5, 11, 13, 17, 29]","[7, 9, 1, 9, 8, 2, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,9,10,"[2, 5, 7, 11, 13, 17, 19, 23, 29]","[10, 9, 10, 4, 6, 10, 10, 2, 5]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,9,10,"[2, 3, 5, 7, 11, 13, 17, 23, 29]","[2, 10, 1, 1, 1, 1, 1, 8, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,8,10,"[3, 5, 11, 13, 17, 19, 23, 29]","[8, 2, 8, 3, 8, 7, 4, 5]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,9,10,"[2, 5, 7, 11, 13, 17, 19, 23, 29]","[9, 5, 10, 3, 3, 1, 5, 10, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,9,10,"[2, 3, 5, 7, 13, 17, 19, 23, 29]","[1, 6, 7, 5, 1, 3, 2, 3, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,10,10,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29]","[9, 5, 7, 1, 7, 5, 6, 5, 8, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Prime Heights,10,10,"[2, 3, 5, 7, 11, 13, 17, 19, 23, 29]","[7, 6, 2, 6, 1, 7, 2, 4, 8, 10]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
