Scenario,n,Max Platform Width,Heights,Widths,Expected
Completely Random Heights,7,10,"[4, 9, 4, 6, 6, 10, 8]","[9, 4, 9, 3, 5, 10, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,9,10,"[5, 2, 1, 5, 5, 5, 3, 6, 9]","[6, 4, 2, 3, 8, 5, 3, 8, 8]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,10,10,"[5, 6, 4, 6, 3, 1, 10, 7, 1, 3]","[9, 6, 7, 8, 7, 9, 1, 6, 5, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,9,10,"[10, 10, 6, 4, 9, 9, 8, 1, 10]","[6, 1, 10, 2, 5, 5, 7, 6, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,5,10,"[10, 10, 6, 9, 8]","[8, 9, 8, 1, 5]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,6,10,"[5, 10, 7, 1, 9, 6]","[4, 5, 1, 2, 8, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,5,10,"[5, 9, 4, 10, 2]","[7, 5, 6, 5, 8]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,8,10,"[3, 6, 2, 4, 2, 7, 8, 7]","[3, 7, 7, 3, 9, 1, 10, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,5,10,"[6, 3, 7, 3, 2]","[1, 3, 2, 9, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Completely Random Heights,6,10,"[7, 5, 3, 4, 7, 10]","[7, 9, 1, 5, 10, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
