Scenario,n,Max Platform Width,Heights,Widths,Expected
Random Heights (1-25),5,25,"[10, 16, 4, 23, 20]","[16, 1, 24, 3, 16]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),9,25,"[16, 23, 12, 9, 11, 13, 16, 22, 24]","[18, 14, 12, 22, 24, 10, 14, 13, 17]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),9,25,"[20, 4, 19, 9, 23, 7, 3, 8, 16]","[15, 17, 20, 12, 2, 9, 8, 16, 11]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),7,25,"[24, 10, 19, 21, 19, 22, 25]","[25, 18, 16, 22, 7, 19, 12]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),9,25,"[25, 12, 22, 25, 22, 10, 20, 22, 7]","[5, 7, 22, 23, 5, 12, 12, 22, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),6,25,"[25, 1, 10, 14, 9, 4]","[23, 8, 18, 6, 3, 24]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),7,25,"[3, 21, 12, 10, 19, 11, 21]","[1, 12, 20, 7, 10, 6, 13]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),10,25,"[14, 2, 12, 4, 3, 6, 5, 9, 25, 24]","[14, 19, 19, 3, 23, 4, 8, 20, 2, 13]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),8,25,"[5, 4, 11, 25, 12, 20, 9, 23]","[22, 5, 6, 25, 15, 19, 14, 18]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Random Heights (1-25),10,25,"[3, 18, 10, 11, 17, 16, 25, 20, 2, 24]","[23, 21, 18, 17, 4, 2, 5, 20, 21, 24]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
