Scenario,n,Max Platform Width,Heights,Widths,Expected
Unimodal Peak,7,10,"[2, 3, 6, 6, 6, 5, 2]","[3, 2, 3, 9, 8, 1, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,6,10,"[2, 3, 3, 4, 4, 2]","[2, 5, 1, 4, 4, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,9,10,"[3, 4, 5, 5, 5, 5, 3, 1, 1]","[7, 8, 9, 6, 2, 1, 9, 7, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,10,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[7, 6, 1, 10, 6, 9, 5, 4, 10, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,10,10,"[1, 2, 2, 3, 4, 4, 4, 3, 3, 1]","[4, 9, 8, 3, 1, 1, 10, 2, 10, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,6,10,"[1, 2, 2, 2, 2, 1]","[8, 7, 9, 7, 7, 5]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,10,10,"[1, 1, 1, 2, 2, 5, 3, 2, 1, 1]","[1, 5, 7, 4, 6, 10, 6, 4, 1, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,5,10,"[2, 3, 5, 5, 4]","[5, 10, 9, 2, 2]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,9,10,"[3, 3, 4, 4, 4, 3, 3, 1, 1]","[8, 3, 2, 2, 4, 8, 1, 7, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Peak,10,10,"[1, 2, 2, 3, 4, 5, 5, 3, 2, 1]","[10, 10, 1, 8, 8, 10, 4, 9, 3, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
