Scenario,n,Max Platform Width,Heights,Widths,Expected
Unimodal Valley,9,10,"[8, 3, 1, 1, 3, 4, 5, 5, 8]","[1, 8, 7, 4, 3, 8, 7, 2, 9]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,10,10,"[6, 5, 5, 4, 1, 1, 1, 3, 4, 6]","[4, 7, 6, 4, 9, 6, 2, 3, 8, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,5,10,"[7, 6, 1, 8, 9]","[2, 6, 7, 9, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,10,10,"[3, 3, 2, 2, 1, 1, 1, 2, 2, 3]","[8, 4, 7, 5, 4, 6, 6, 3, 6, 3]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,5,10,"[4, 3, 1, 5, 5]","[2, 7, 3, 5, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,10,10,"[4, 2, 1, 1, 1, 1, 1, 1, 4, 4]","[1, 3, 1, 8, 5, 5, 4, 3, 5, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,10,10,"[2, 2, 1, 1, 1, 1, 1, 1, 1, 2]","[9, 6, 7, 6, 4, 5, 10, 9, 3, 6]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,8,10,"[7, 4, 3, 1, 1, 1, 2, 4]","[3, 1, 4, 3, 6, 3, 10, 4]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,5,10,"[2, 1, 2, 2, 2]","[2, 4, 1, 5, 7]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
Unimodal Valley,8,10,"[5, 4, 1, 1, 1, 4, 4, 5]","[9, 6, 6, 6, 4, 5, 6, 1]","Expected: TBD platforms, Total Height: TBD, Sculptures per Platform: TBD"
